KommuneName,KommuneInfoID
Unjárga - Nesseby,5636
Vardø,5634
Båtsfjord,5632
Berlevåg,5630
Deatnu - Tana,5628
Gamvik,5626
Lebesby,5624
Porsanger - Porsáŋgu - Porsanki,5622
Nordkapp,5620
Måsøy,5618
Hasvik,5616
Loppa,5614
Guovdageaidnu - Kautokeino,5612
Kárášjohka - Karasjok,5610
Vadsø,5607
Sør - Varanger,5605
Hammerfest - Hámmerfeasta,5603
Alta,5601
Kvænangen,5546
Nordreisa - Ráisa - Raisi,5544
Skjervøy,5542
Gáivuotna - Kåfjord - Kaivuono,5540
Storfjord - Omasvuotna - Omasvuono,5538
Lyngen,5536
Karlsøy,5534
Balsfjord,5532
Senja,5530
Dyrøy,5528
Sørreisa,5526
Målselv,5524
Salangen,5522
Bardu,5520
Loabák - Lavangen,5518
Gratangen,5516
Ibestad,5514
Tjeldsund - Dielddanuorri,5512
Kvæfjord,5510
Harstad - Hárstták,5503
Tromsø,5501
Rindal,5061
Nærøysund,5060
Orkland,5059
Åfjord,5058
Ørland,5057
Hitra,5056
Heim,5055
IndreFosen,5054
Inderøy,5053
Leka,5052
Flatanger,5049
Overhalla,5047
Høylandet,5046
Grong,5045
Namsskogan,5044
Raarvihke - Røyrvik,5043
Lierne,5042
Snåase - Snåsa,5041
Verdal,5038
Levanger,5037
Frosta,5036
Stjørdal,5035
Meråker,5034
Tydal,5033
Selbu,5032
Malvik,5031
Skaun,5029
Melhus,5028
MidtreGauldal,5027
Holtålen,5026
Rosse - Røros,5025
Rennebu,5022
Oppdal,5021
Osen,5020
Frøya,5014
Namsos - Nåavmesjenjaelmie,5007
Steinkjer,5006
Trondheim - Tråante,5001
Stryn,4651
Gloppen,4650
Stad,4649
Bremanger,4648
Sunnfjord,4647
Fjaler,4646
Askvoll,4645
Luster,4644
Årdal,4643
Lærdal,4642
Aurland,4641
Sogndal,4640
Vik,4639
Høyanger,4638
Hyllestad,4637
Solund,4636
Gulen,4635
Masfjorden,4634
Fedje,4633
Austrheim,4632
Alver,4631
Osterøy,4630
Modalen,4629
Vaksdal,4628
Askøy,4627
Øygarden,4626
Austevoll,4625
Bjørnafjorden,4624
Samnanger,4623
Kvam,4622
Voss,4621
Ulvik,4620
Eidfjord,4619
Ullensvang,4618
Kvinnherad,4617
Tysnes,4616
Fitjar,4615
Stord,4614
Bømlo,4613
Sveio,4612
Etne,4611
Kinn,4602
Bergen,4601
Sirdal,4228
Kvinesdal,4227
Hægebostad,4226
Lyngdal,4225
Åseral,4224
Vennesla,4223
Bykle,4222
Valle,4221
Bygland,4220
EvjeogHornnes,4219
Iveland,4218
Åmli,4217
Birkenes,4216
Lillesand,4215
Froland,4214
Tvedestrand,4213
Vegårshei,4212
Gjerstad,4211
Flekkefjord,4207
Farsund,4206
Lindesnes,4205
Kristiansand,4204
Arendal,4203
Grimstad,4202
Risør,4201
Vinje,4036
Tokke,4034
Fyresdal,4032
Nissedal,4030
Kviteseid,4028
Tinn,4026
Hjartdal,4024
Seljord,4022
Midt - Telemark,4020
Nome,4018
Drangedal,4016
Kragerø,4014
Bamble,4012
Siljan,4010
Notodden,4005
Skien,4003
Porsgrunn,4001
Færder,3911
Larvik,3909
Sandefjord,3907
Tønsberg,3905
Holmestrand,3903
Horten,3901
Vang,3454
ØystreSlidre,3453
VestreSlidre,3452
Nord - Aurdal,3451
Etnedal,3450
Sør - Aurdal,3449
NordreLand,3448
SøndreLand,3447
Gran,3446
VestreToten,3443
ØstreToten,3442
Gausdal,3441
Øyer,3440
Ringebu,3439
Sør - Fron,3438
Sel,3437
Nord - Fron,3436
Vågå,3435
Lom,3434
Skjåk,3433
Lesja,3432
Dovre,3431
Os,3430
Folldal,3429
Alvdal,3428
Tynset,3427
Tolga,3426
Engerdal,3425
Rendalen,3424
Stor - Elvdal,3423
Åmot,3422
Trysil,3421
Elverum,3420
Våler,3419
Åsnes,3418
Grue,3417
Eidskog,3416
Sør - Odal,3415
Nord - Odal,3414
Stange,3413
Løten,3412
Ringsaker,3411
Gjøvik,3407
Lillehammer,3405
Hamar,3403
Kongsvinger,3401
NoreogUvdal,3338
Rollag,3336
Flesberg,3334
Sigdal,3332
Hol,3330
Ål,3328
Hemsedal,3326
Gol,3324
Nesbyen,3322
Flå,3320
Krødsherad,3318
Modum,3316
ØvreEiker,3314
Lier,3312
Hole,3310
Ringerike,3305
Kongsberg,3303
Drammen,3301
Hurdal,3242
Eidsvoll,3240
Nannestad,3238
Jevnaker,3236
Lunner,3234
Nittedal,3232
Gjerdrum,3230
Nes,3228
Aurskog - Høland,3226
Rælingen,3224
Lørenskog,3222
Enebakk,3220
Ås,3218
Vestby,3216
Frogn,3214
Nesodden,3212
Ullensaker,3209
NordreFollo,3207
Lillestrøm,3205
Asker,3203
Bærum,3201
Aremark,3124
Marker,3122
Rakkestad,3120
IndreØstfold,3118
Skiptvet,3116
Våler,3114
Råde,3112
Hvaler,3110
Fredrikstad,3107
Sarpsborg,3105
Moss,3103
Halden,3101
Hábmer - Hamarøy,1875
Moskenes,1874
Andøy,1871
Sortland - Suortá,1870
Øksnes,1868
Bø,1867
Hadsel,1866
Vågan,1865
Vestvågøy,1860
Flakstad,1859
Værøy,1857
Røst,1856
Evenes - Evenášši,1853
Lødingen,1851
Steigen,1848
Sørfold,1845
Fauske - Fuossko,1841
Saltdal,1840
Beiarn,1839
Gildeskål,1838
Meløy,1837
Rødøy,1836
Træna,1835
Lurøy,1834
Rana,1833
Hemnes,1832
Nesna,1828
Dønna,1827
Aarborte - Hattfjelldal,1826
Grane,1825
Vefsn,1824
Leirfjord,1822
Alstahaug,1820
Herøy,1818
Vevelstad,1816
Vega,1815
Brønnøy,1813
Sømna,1812
Bindal,1811
Narvik,1806
Bodø,1804
Hara,	158
Hustadvika,1579
Fjord,1578
Volda,1577
Aure,1576
Smøla,1573
Surnadal,1566
Sunndal,1563
Tingvoll,1560
Gjemnes,1557
Averøy,1554
Aukra,1547
Rauma,1539
Vestnes,1535
Giske,1532
Sula,1531
Sykkylven,1528
Stranda,1525
Ørsta,1520
Hareid,1517
Ulstein,1516
Herøy,1515
Sande,1514
Vanylven,1511
Ålesund,1508
Molde,1506
Kristiansund,1505
Vindafjord,1160
Utsira,1151
Karmøy,1149
Tysvær,1146
Bokn,1145
Kvitsøy,1144
Sauda,1135
Suldal,1134
Hjelmeland,1133
Strand,1130
Randaberg,1127
Sola,1124
Gjesdal,1122
Time,1121
Klepp,1120
Hå,1119
Bjerkreim,1114
Lund,1112
Sokndal,1111
Sandnes,1108
Haugesund,1106
Stavanger,1103
Eigersund,1101
Oslo,0301
